trade_id,timestamp_utc,event,market,side,strike,price,outcome_price,size,model_probability,ev_per_contract,ev_dollars,edge_pct,realized_pnl,spot_price,last_candle_close,spot_candle_gap_pct,annual_vol,horizon_hours,settlement_time_utc,settlement_mode,notes
T1769048469,2026-01-22T02:21:09.366164+00:00,OPEN,btc-hourly-10pm,NO,89750.0,0.08517241379310346,,58,0.183175,0.098,5.68,1.1506,,90150.01,90188.28,0.0424,0.5614,0.674,2026-01-22T03:00:00+00:00,hourly,
T1769048469,2026-01-22T03:00:43.159594+00:00,CLOSE,btc-hourly-10pm,NO,89750.0,0.085172,0.169700,58,0.183175,0.098,5.68,1.1506,4.90,90150.01,90188.28,0.0424,0.5614,0.674,2026-01-22T03:00:00+00:00,hourly,close_type=CASHOUT | exit_price=0.169700 | PnL: +4.90
T1769048251,2026-01-22T03:01:07.293859+00:00,CLOSE,btc-hourly-10pm,NO,90000.0,0.273611,1.000000,36,0.379708,0.1061,3.82,0.3878,26.15,90140.1,90096.22,0.0487,0.561,0.718,2026-01-22T03:00:00+00:00,hourly,close_type=WIN | PnL: +26.15
T1769051512,2026-01-22T03:11:52.479699+00:00,OPEN,btc-hourly-11pm,NO,90000.0,0.4066666666666667,,24,0.456671,0.05,1.2,0.123,,90052.9,90023.7,0.0324,0.5614,0.811,2026-01-22T04:00:00+00:00,hourly,
T1769051618,2026-01-22T03:13:38.989013+00:00,OPEN,btc-hourly-11pm,NO,89750.0,0.15898305084745765,,59,0.261509,0.1025,6.05,0.6449,,90055.99,90050.9,0.0056,0.5613,0.79,2026-01-22T04:00:00+00:00,hourly,
T1769052138,2026-01-22T03:22:18.772640+00:00,OPEN,btc-hourly-11pm,YES,90250.0,0.10638297872340426,,47,0.216165,0.1098,5.16,1.032,,89910.15,89901.07,0.0101,0.5628,0.639,2026-01-22T04:00:00+00:00,hourly,
T1769052891,2026-01-22T03:34:51.460059+00:00,OPEN,btc-hourly-11pm,YES,90000.0,0.11690476190476191,,42,0.255335,0.1384,5.81,1.1841,,89764.88,89762.8,0.0023,0.563,0.437,2026-01-22T04:00:00+00:00,hourly,
T1769055289,2026-01-22T04:14:49.958715+00:00,OPEN,btc-hourly-12am,NO,89500.0,0.08542857142857144,,35,0.264421,0.179,6.26,2.0952,,89797.04,89797.99,0.0011,0.5622,0.768,2026-01-22T05:00:00+00:00,hourly,
T1769055338,2026-01-22T04:15:38.394223+00:00,OPEN,btc-hourly-12am,NO,89750.0,0.36592592592592593,,27,0.4739,0.108,2.92,0.2951,,89780.54,89797.99,0.0194,0.5622,0.749,2026-01-22T05:00:00+00:00,hourly,
T1769051512,2026-01-22T04:18:56.887001+00:00,CLOSE,btc-hourly-11pm,NO,90000.0,0.406667,0.685000,24,0.456671,0.05,1.2,0.123,6.68,90052.9,90023.7,0.0324,0.5614,0.811,2026-01-22T04:00:00+00:00,hourly,close_type=CASHOUT | exit_price=0.685000 | PnL: +6.68
