trade_id,open_time,market,side,strike,entry_price,size,model_prob_used,expected_ev_dollars,outcome_price,realized_pnl,hold_minutes,log_lag_minutes,edge_pct,notes_close
T1767417207,2026-01-03 05:13:27.998922+00:00,btc-daily,NO,89750.0,0.2941176470588235,17,0.590881,1.96,0.0,-5.0,1006.5333513,1726.0217370666667,0.391,close_type=LOSS | PnL: -5.00
T1767418076,2026-01-03 05:27:56.085884+00:00,btc-daily,NO,89250.0,0.1380555555555555,36,0.679218,6.58,0.0,-4.97,992.0652352666667,1726.5361490666667,1.3236,close_type=LOSS | PnL: -4.97
T1767418604,2026-01-03 05:36:44.758901+00:00,btc-daily,NO,88750.0,0.0535135135135135,37,0.776293,6.3,0.0,-1.98,983.2540183166667,1727.0209725666668,3.1804,close_type=LOSS | PnL: -1.98
T1767457506,2026-01-03 16:25:06.864987+00:00,btc-hourly,NO,89750.0,0.1414285714285714,14,0.770286,1.24,0.0,-1.98,34.88558355,5.432995083333334,0.6242,close_type=LOSS | PnL: -1.98
T1767457973,2026-01-03 16:32:53.114348+00:00,btc-hourly,NO,90000.0,0.385984555984556,259,0.56343,13.1,0.0,-99.97,27.114760866666664,5.7722641999999995,0.1311,close_type=LOSS | PnL: -99.97
T1767458116,2026-01-03 16:35:16.735297+00:00,btc-hourly-12pm,NO,90000.0,0.2813157894736842,38,0.625319,3.55,0.0,-10.69,24.721078383333335,6.162870233333334,0.3319,close_type=LOSS | PnL: -10.69
T1767460078,2026-01-03 17:07:58.714531+00:00,btc-hourly-1pm,YES,90250.0,0.1101101321585903,908,0.195982,77.97,0.0,-99.98,52.021424483333334,1952.8342838666665,0.7799,close_type=LOSS | PnL: -99.98
T1767460121,2026-01-03 17:08:41.334403+00:00,btc-hourly-1pm,NO,89750.0,0.0985502958579881,1014,0.848877,53.31,0.0,-99.93,51.311093283333335,1953.26235485,0.5335,close_type=LOSS | PnL: -99.93
T1767475662,2026-01-03 21:27:42.902215+00:00,btc-hourly-5pm,NO,90250.0,0.1063085106382978,940,0.809604,79.04,0.0,-99.93,32.28496308333333,1714.6261456333334,0.791,close_type=LOSS | PnL: -99.93
T1767476136,2026-01-03 21:35:36.150522+00:00,btc-hourly-5pm,NO,90750.0,0.8936036036036036,111,0.12496099999999999,-2.06,1.0,11.81,24.397491300000002,1715.8318049,-0.0208,close_type=WIN | PnL: +11.81
T1767493234,2026-01-04 02:20:34.753806+00:00,btc-hourly-10pm,NO,91250.0,0.7341176470588235,136,0.21471200000000001,6.96,1.0,36.16,39.420769899999996,1417.1585064833334,0.0697,close_type=WIN | PnL: +36.16
T1767493333,2026-01-04 02:22:13.857922+00:00,btc-hourly-10pm,NO,91500.0,0.9405660377358492,106,0.04500700000000002,1.53,1.0,6.3,37.769034633333334,1418.0418758,0.0153,close_type=WIN | PnL: +6.30
T1767503844,2026-01-04 05:17:24.803950+00:00,btc-daily,NO,92250.0,0.7722480620155039,129,0.16690400000000005,7.85,1.0,29.38,1002.5866008333334,278.48734805,0.0788,close_type=WIN | PnL: +29.38
T1767503910,2026-01-04 05:18:30.943453+00:00,btc-daily,NO,92750.0,0.8494017094017093,117,0.07321299999999997,9.05,1.0,17.62,1001.4842757833334,278.93122508333335,0.0911,close_type=WIN | PnL: +17.62
T1767503998,2026-01-04 05:19:58.973690+00:00,btc-daily,YES,90250.0,0.8208264462809917,121,0.88731,8.04,1.0,21.68,1000.0171051666667,279.1614989333333,0.081,close_type=WIN | PnL: +21.68
T1767509697,2026-01-04 06:54:57.207602+00:00,btc-daily,YES,90250.0,0.8208264462809917,121,0.879173,7.06,1.0,21.68,905.0465399666666,279.3997938666667,0.0711,close_type=WIN | PnL: +21.68
T1767509888,2026-01-04 06:58:08.622248+00:00,btc-daily,NO,92750.0,0.876140350877193,114,0.04952400000000001,8.47,1.0,14.12,901.8562958666666,279.6855255,0.0848,close_type=WIN | PnL: +14.12
T1767509951,2026-01-04 06:59:11.513885+00:00,btc-daily,NO,92250.0,0.8016129032258065,124,0.13738499999999998,7.56,1.0,24.6,900.8081019166667,280.11780833333336,0.0761,close_type=WIN | PnL: +24.60
T1767549967,2026-01-04 18:06:07.281301+00:00,btc-hourly-2pm,YES,91500.0,0.0940489642184557,531,0.162422,36.31,0.0,-49.94,53.87864498333333,468.94850549999995,0.727,close_type=LOSS | PnL: -49.94
T1767567013,2026-01-04 22:50:13.040068+00:00,btc-hourly-6pm,YES,91250.0,0.1903435114503816,262,0.279677,23.41,0.0,-49.87,9.782665533333333,229.78758761666668,0.4693,close_type=LOSS | PnL: -49.87
T1767576305,2026-01-05 01:25:05.879307+00:00,btc-hourly-9pm,NO,93000.0,0.6562068965517242,29,0.263869,2.32,1.0,9.97,34.90201155,50.0982843,0.1218,close_type=WIN | PnL: +9.97
T1767581746,2026-01-05 02:55:46.538455+00:00,btc-hourly-10pm,YES,93000.0,0.3968181818181818,22,0.594609,4.35,0.2077,-4.16,4.224359083333334,1.0179450333333333,0.4984,close_type=CASHOUT | exit_price=0.207700 | PnL: -4.16
